state_name,state_code,more_covid_cases,more_covid_deaths,more_black_people,more_poverty,more_Unemployment,more_mail_votes,joe_binden_won
Alabama,AL,1,1,1,1,1,0,0
Arkansas,AR,1,1,1,1,1,0,0
Arizona,AZ,1,1,0,1,1,0,1
California,CA,1,1,0,1,1,1,1
Colorado,CO,0,0,0,0,0,0,1
Connecticut,CT,0,1,1,0,1,1,1
Delaware,DE,1,1,1,0,1,1,1
Florida,FL,1,1,1,1,1,1,0
Georgia,GA,1,1,1,1,1,1,1
Hawaii,HI,0,0,0,0,0,1,1
Iowa,IA,1,1,0,0,0,1,0
Idaho,ID,1,0,0,1,0,1,0
Illinois,IL,1,1,1,0,1,0,1
Indiana,IN,0,1,0,0,0,1,0
Kansas,KS,1,0,0,0,0,0,0
Kentucky,KY,0,0,1,1,1,0,0
Louisiana,LA,1,1,1,1,1,0,0
Massachusetts,MA,0,1,1,0,0,1,1
Maryland,MD,1,1,1,0,1,1,1
Maine,ME,0,0,0,0,0,0,1
Michigan,MI,0,1,1,1,1,0,1
Minnesota,MN,0,0,0,0,0,1,1
Missouri,MO,0,0,1,1,0,0,0
Mississippi,MS,1,1,1,1,1,0,0
Montana,MT,0,0,0,1,0,0,0
North Carolina,NC,1,0,1,1,1,0,0
North Dakota,ND,1,0,0,0,0,1,0
Nebraska,NE,1,0,0,0,0,0,0
New Hampshire,NH,0,0,0,0,0,0,1
New Jersey,NJ,1,1,1,0,1,0,1
New Mexico,NM,0,1,0,1,1,1,1
Nevada,NV,1,1,0,0,1,1,1
New York,NY,1,1,1,0,1,0,1
Ohio,OH,0,1,1,1,0,1,0
Oklahoma,OK,1,0,1,1,0,0,0
Oregon,OR,0,0,0,1,1,1,1
Pennsylvania,PA,0,1,1,0,0,0,1
Rhode Island,RI,1,1,0,0,0,1,1
South Carolina,SC,1,1,1,1,1,0,0
South Dakota,SD,1,0,0,1,0,1,0
Tennessee,TN,1,0,1,1,1,0,0
Texas,TX,1,1,1,1,0,0,0
Utah,UT,1,0,0,0,0,1,0
Virginia,VA,0,0,1,0,0,0,1
Vermont,VT,0,0,0,0,0,0,1
Washington,WA,0,0,0,1,1,1,1
Wisconsin,WI,1,0,0,0,0,1,1
West Virginia,WV,0,0,0,1,1,1,0
Wyoming,WY,0,0,0,0,0,0,0
