estado_nome,estado_codigo,nivel_porcent_votes_correp,estado_delegados_quantidade
Alabama,AL,0,9
Alaska,AK,2,3
Arizona,AZ,0,11
Arkansas,AR,0,6
California,CA,4,55
Colorado,CO,0,9
Connecticut,CT,3,7
Delaware,DE,3,3
District of Columbia,DC,4,3
Florida,FL,3,29
Georgia,GA,3,16
Hawaii,HI,5,4
Idaho,ID,3,4
Illinois,IL,0,20
Indiana,IN,3,11
Iowa,IA,4,6
Kansas,KS,0,6
Kentucky,KY,0,8
Louisiana,LA,1,8
Maine,ME,0,4
Maryland,MD,5,10
Massachusetts,MA,3,11
Michigan,MI,0,16
Minnesota,MN,3,10
Mississippi,MS,1,6
Missouri,MO,1,10
Montana,MT,0,3
Nebraska,NE,1,5
Nevada,NV,5,6
New Hampshire,NH,2,4
New Jersey,NJ,0,14
New Mexico,NM,4,5
New York,NY,0,29
North Carolina,NC,1,15
North Dakota,ND,5,3
Ohio,OH,4,18
Oklahoma,OK,1,7
Oregon,OR,5,7
Pennsylvania,PA,0,20
Rhode Island,RI,3,4
South Carolina,SC,2,9
South Dakota,SD,3,3
Tennessee,TN,1,11
Texas,TX,1,38
Utah,UT,5,6
Vermont,VT,1,3
Virginia,VA,2,13
Washington,WA,5,12
West Virginia,WV,3,5
Wisconsin,WI,4,10
Wyoming,WY,2,3
